"№";"ID";"Угроза";"Атака / способ";"Элемент техпаспорта БАС";"Информационный поток";"Актуальность"
"81";"УБИ.1.12.7";"Угроза утечки информации, передаваемой по физическим линиям связи, за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на физический канал обмена: USB, UART, радиотелеметрия, MAVLink-канал. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.2 Подключение устройства перехвата в разрыв канала передачи данных; СП.7.3 Атаки на уровне каналов и сети, приводящие к изменению маршрутов; и др.. Компоненты: К.3.1.1 Проводной канал передачи данных; К.3.1.2 Беспроводной канал передачи данных.";"Канал связи MAVLink/UDP; GCS 14552/14550; API 14541/14540";"F2, F3, F4, F9";"Условно актуальна"
"82";"УБИ.1.12.10";"Угроза утечки информации, передаваемой по физическим линиям связи, за счет атаки типа ""человек посередине""";"Нарушитель воздействует на физический канал обмена: USB, UART, радиотелеметрия, MAVLink-канал. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.1 Атака типа ""человек посередине"" через HTTP-запросы; СП.10.2 Атака типа ""человек посередине"" через TLS/SSL-запросы; и др.. Компоненты: К.3.1.1 Проводной канал передачи данных; К.3.1.2 Беспроводной канал передачи данных.";"Канал связи MAVLink/UDP; GCS 14552/14550; API 14541/14540";"F2, F3, F4, F9";"Условно актуальна"
"83";"УБИ.1.12.11";"Угроза утечки информации, передаваемой по физическим линиям связи, за счет применения скрытых каналов";"Нарушитель воздействует на физический канал обмена: USB, UART, радиотелеметрия, MAVLink-канал. Способ: СП.11 Применение скрытых каналов. Техники: СП.11.1 Применение скрытых каналов по времени. Компоненты: К.3.1.1 Проводной канал передачи данных; К.3.1.2 Беспроводной канал передачи данных.";"Канал связи MAVLink/UDP; GCS 14552/14550; API 14541/14540";"F2, F3, F4, F9";"Условно актуальна"
"84";"УБИ.1.12.16";"Угроза утечки информации, передаваемой по физическим линиям связи, за счет нарушения изоляции";"Нарушитель воздействует на физический канал обмена: USB, UART, радиотелеметрия, MAVLink-канал. Способ: СП.16 Нарушение изоляции. Техники: СП.16.3 Нарушение сетевой изоляции. Компоненты: К.3.1.1 Проводной канал передачи данных; К.3.1.2 Беспроводной канал передачи данных.";"Канал связи MAVLink/UDP; GCS 14552/14550; API 14541/14540";"F2, F3, F4, F9";"Условно актуальна"
"85";"УБИ.1.12.26";"Угроза утечки информации, передаваемой по физическим линиям связи, за счет воздействия через системы хранения и резервирования данных";"Нарушитель воздействует на физический канал обмена: USB, UART, радиотелеметрия, MAVLink-канал. Способ: СП.26 Воздействие через системы хранения и резервирования данных. Техники: СП.26.1 Воздействие на поставщика услуг системы хранения данных; СП.26.2 Анализ временных задержек операций с зашифрованными данными сервера системы хранения данных; и др.. Компоненты: К.3.1.1 Проводной канал передачи данных; К.3.1.2 Беспроводной канал передачи данных.";"Канал связи MAVLink/UDP; GCS 14552/14550; API 14541/14540";"F2, F3, F4, F9";"Условно актуальна"
"86";"УБИ.2.1.1";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет эксплуатации уязвимостей";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.1 Эксплуатация уязвимостей. Техники: СП.1.1 Эксплуатация известных уязвимостей; СП.1.2 Эксплуатация уязвимостей ""нулевого дня"". Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"87";"УБИ.2.1.2";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет использования недостатков конфигурации";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.2 Использование недостатков конфигурации. Техники: СП.2.1 Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных; СП.2.2 Использование недостатков, связанных с управлением учетными данными; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"88";"УБИ.2.1.3";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет использования недостатков архитектуры";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.3 Использование недостатков архитектуры. Техники: СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.3.1 Системные и сетевые службы; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"89";"УБИ.2.1.4";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет внедрения вредоносного программного обеспечения";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.4 Внедрение вредоносного программного обеспечения. Техники: СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту; СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"90";"УБИ.2.1.5";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет внедрения программных и аппаратных закладок";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.5 Внедрение программных и аппаратных закладок. Техники: СП.5.1 Внедрение закладок в прикладное программное обеспечение; СП.5.2 Внедрение закладок, являющихся драйверами устройств; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"91";"УБИ.2.1.7";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.1 Прослушивание интерфейсов сети. Компоненты: К.2.2.8 Сетевой интерфейс.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"92";"УБИ.2.1.10";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет атаки типа ""человек посередине""";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.7 Атаки на уровне каналов и сети, приводящие к изменению маршрутов. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"93";"УБИ.2.1.13";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет реализации социальной инженерии";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.13 Реализация социальной инженерии. Техники: СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений); СП.13.2 Атаки через социальные сети; и др.. Компоненты: К.4.1.1 Администратор; К.4.2.1 Непривилегированный сотрудник.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"94";"УБИ.2.1.16";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет нарушения изоляции";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.16 Нарушение изоляции. Техники: СП.16.2 Нарушение изоляции процессов. Компоненты: К.1.2.1 Операционная система.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"95";"УБИ.2.1.17";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет подбора (восстановления) аутентификационной информации";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.17 Подбор (восстановление) аутентификационной информации. Техники: СП.17.1 Перебор паролей к учетной записи; СП.17.2 Перебор пользователей к паролю (Password Spraying); и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"96";"УБИ.2.1.18";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет использования недостатков механизмов разграничения доступа";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.18 Использование недостатков механизмов разграничения доступа. Техники: СП.18.1 Доступ без авторизации; СП.18.2 Использование ошибок или отсутствия проверки прав доступа. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"97";"УБИ.2.1.19";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет модификации операционной системы (подмена системных файлов, внедрение вредоносного кода в системные процессы и ядро операционной системы)";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.19 Модификация ОС (подмена системных файлов, внедрение вредоносного кода в системные процессы и ядро ОС). Техники: СП.19.1 Модификация операционной системы путем загрузки с внешнего носителя; СП.19.2 Модификация операционной системы из гипервизора; и др.. Компоненты: К.1.2.1 Операционная система.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"98";"УБИ.2.1.23";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет модификации (подмены) прошивки (микропрограммы)";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.23 Модификация (подмена) прошивки (микропрограммы). Техники: СП.23.1 Подмена прошивки (микропрограммы); СП.23.2 Модификация прошивки (микропрограммы). Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма).";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"99";"УБИ.2.1.24";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет физического воздействия";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.24 Физическое воздействие. Техники: СП.24.2 Внесение изменений в конфигурацию на уровне оборудования. Компоненты: К.2.1.2 Монитор; К.2.1.3 Мышь; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"100";"УБИ.2.1.25";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет атаки на системы с распределенным реестром";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.25 Атаки на системы с распределенным реестром. Техники: СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра; СП.25.2 Атаки на протоколы достижения консенсуса; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"101";"УБИ.2.1.26";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет воздействия через системы хранения и резервирования данных";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.26 Воздействие через системы хранения и резервирования данных. Техники: СП.26.1 Воздействие на поставщика услуг системы хранения данных; СП.26.4 Удаление (изменение, шифрование) данных в системе резервирования; и др.. Компоненты: К.1.3.1 Системные и сетевые службы.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"102";"УБИ.2.2.1";"Угроза несанкционированного доступа к серверу за счет эксплуатации уязвимостей";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.1 Эксплуатация уязвимостей. Техники: СП.1.1 Эксплуатация известных уязвимостей; СП.1.2 Эксплуатация уязвимостей ""нулевого дня"". Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"103";"УБИ.2.2.2";"Угроза несанкционированного доступа к серверу за счет использования недостатков конфигурации";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.2 Использование недостатков конфигурации. Техники: СП.2.1 Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных; СП.2.2 Использование недостатков, связанных с управлением учетными данными; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"104";"УБИ.2.2.3";"Угроза несанкционированного доступа к серверу за счет использования недостатков архитектуры";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.3 Использование недостатков архитектуры. Техники: СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных. Компоненты: К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"105";"УБИ.2.2.4";"Угроза несанкционированного доступа к серверу за счет внедрения вредоносного программного обеспечения";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.4 Внедрение вредоносного программного обеспечения. Техники: СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту; СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"106";"УБИ.2.2.5";"Угроза несанкционированного доступа к серверу за счет внедрения программных и аппаратных закладок";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.5 Внедрение программных и аппаратных закладок. Техники: СП.5.2 Внедрение закладок, являющихся драйверами устройств; СП.5.3 Внедрение закладок, имитирующих интерфейсы служебных программ; и др.. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"107";"УБИ.2.2.7";"Угроза несанкционированного доступа к серверу за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.1 Прослушивание интерфейсов сети. Компоненты: К.2.2.8 Сетевой интерфейс.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"108";"УБИ.2.2.10";"Угроза несанкционированного доступа к серверу за счет атаки типа ""человек посередине""";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.7 Атаки на уровне каналов и сети, приводящие к изменению маршрутов. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"109";"УБИ.2.2.13";"Угроза несанкционированного доступа к серверу за счет реализации социальной инженерии";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.13 Реализация социальной инженерии. Техники: СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений); СП.13.2 Атаки через социальные сети; и др.. Компоненты: К.4.1.1 Администратор.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"110";"УБИ.2.2.16";"Угроза несанкционированного доступа к серверу за счет нарушения изоляции";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.16 Нарушение изоляции. Техники: СП.16.2 Нарушение изоляции процессов. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"111";"УБИ.2.2.17";"Угроза несанкционированного доступа к серверу за счет подбора (восстановления) аутентификационной информации";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.17 Подбор (восстановление) аутентификационной информации. Техники: СП.17.1 Перебор паролей к учетной записи; СП.17.2 Перебор пользователей к паролю (Password Spraying); и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"112";"УБИ.2.2.18";"Угроза несанкционированного доступа к серверу за счет использования недостатков механизмов разграничения доступа";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.18 Использование недостатков механизмов разграничения доступа. Техники: СП.18.1 Доступ без авторизации; СП.18.2 Использование ошибок или отсутствия проверки прав доступа. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"113";"УБИ.2.2.19";"Угроза несанкционированного доступа к серверу за счет модификации операционной системы (подмена системных файлов, внедрение вредоносного кода в системные процессы и ядро операционной системы)";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.19 Модификация ОС (подмена системных файлов, внедрение вредоносного кода в системные процессы и ядро ОС). Техники: СП.19.1 Модификация операционной системы путем загрузки с внешнего носителя; СП.19.2 Модификация операционной системы из гипервизора; и др.. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"114";"УБИ.2.2.25";"Угроза несанкционированного доступа к серверу за счет атаки на системы с распределенным реестром";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.25 Атаки на системы с распределенным реестром. Техники: СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра; СП.25.2 Атаки на протоколы достижения консенсуса; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы; и др..";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"115";"УБИ.2.2.26";"Угроза несанкционированного доступа к серверу за счет воздействия через системы хранения и резервирования данных";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.26 Воздействие через системы хранения и резервирования данных. Техники: СП.26.1 Воздействие на поставщика услуг системы хранения данных; СП.26.4 Удаление (изменение, шифрование) данных в системе резервирования; и др.. Компоненты: К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна"
"116";"УБИ.2.3.1";"Угроза несанкционированного доступа к периферийному оборудованию за счет эксплуатации уязвимостей";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.1 Эксплуатация уязвимостей. Техники: СП.1.1 Эксплуатация известных уязвимостей; СП.1.2 Эксплуатация уязвимостей ""нулевого дня"". Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма).";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"117";"УБИ.2.3.2";"Угроза несанкционированного доступа к периферийному оборудованию за счет использования недостатков конфигурации";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.2 Использование недостатков конфигурации. Техники: СП.2.1 Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных; СП.2.2 Использование недостатков, связанных с управлением учетными данными; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных.";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"118";"УБИ.2.3.3";"Угроза несанкционированного доступа к периферийному оборудованию за счет использования недостатков архитектуры";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.3 Использование недостатков архитектуры. Техники: СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных; и др..";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"119";"УБИ.2.3.4";"Угроза несанкционированного доступа к периферийному оборудованию за счет внедрения вредоносного программного обеспечения";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.4 Внедрение вредоносного программного обеспечения. Техники: СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации; СП.4.4 Внедрение вредоносного программного обеспечения через сетевое взаимодействие; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных.";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"120";"УБИ.2.3.5";"Угроза несанкционированного доступа к периферийному оборудованию за счет внедрения программных и аппаратных закладок";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.5 Внедрение программных и аппаратных закладок. Техники: СП.5.4 Внедрение аппаратных закладок; СП.5.7 Внедрение закладок в микропрограммное обеспечение. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных; и др..";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"121";"УБИ.2.3.7";"Угроза несанкционированного доступа к периферийному оборудованию за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.1 Прослушивание интерфейсов сети; СП.7.2 Подключение устройства перехвата в разрыв канала передачи данных; и др.. Компоненты: К.2.2.8 Сетевой интерфейс; К.3.1.1 Проводной канал передачи данных; и др..";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"122";"УБИ.2.3.10";"Угроза несанкционированного доступа к периферийному оборудованию за счет атаки типа ""человек посередине""";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.1 Атака типа ""человек посередине"" через HTTP-запросы; СП.10.2 Атака типа ""человек посередине"" через TLS/SSL-запросы; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.3.1.1 Проводной канал передачи данных; и др..";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"123";"УБИ.2.3.13";"Угроза несанкционированного доступа к периферийному оборудованию за счет реализации социальной инженерии";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.13 Реализация социальной инженерии. Техники: СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений); СП.13.2 Атаки через социальные сети; и др.. Компоненты: К.4.2.1 Непривилегированный сотрудник.";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"124";"УБИ.2.3.16";"Угроза несанкционированного доступа к периферийному оборудованию за счет нарушения изоляции";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.16 Нарушение изоляции. Техники: СП.16.3 Нарушение сетевой изоляции. Компоненты: К.3.1.1 Проводной канал передачи данных; К.3.1.2 Беспроводной канал передачи данных.";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
"125";"УБИ.2.3.17";"Угроза несанкционированного доступа к периферийному оборудованию за счет подбора (восстановления) аутентификационной информации";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.17 Подбор (восстановление) аутентификационной информации. Техники: СП.17.1 Перебор паролей к учетной записи; СП.17.2 Перебор пользователей к паролю (Password Spraying); и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных; и др..";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна"
